run,seed,iteration,loss
ideal_deep_opt,2,30,-11.255876022193194
ideal_deep_opt,2,31,-11.294089007268406
ideal_deep_opt,2,32,-11.34233902647814
ideal_deep_opt,2,33,-11.38449882346924
ideal_deep_opt,2,34,-11.3797328608683
ideal_deep_opt,2,35,-11.38521106851437
ideal_deep_opt,2,36,-11.40506735528498
ideal_deep_opt,2,37,-11.431404158489352
ideal_deep_opt,2,38,-11.463661981400382
ideal_deep_opt,2,39,-11.500647401590305
A_deep_red,0,0,0.29148830677237053
A_deep_red,0,1,-0.8686333302644592
A_deep_red,0,2,-1.2023311493186921
A_deep_red,0,3,-2.4339189027720645
A_deep_red,0,4,-3.785775955936003
A_deep_red,0,5,-4.503062754538334
A_deep_red,0,6,-4.886053543612581
A_deep_red,0,7,-4.980589804174338
A_deep_red,0,8,-5.082312303891674
A_deep_red,0,9,-5.3693460198831895
A_deep_red,0,10,-5.713757607604973
A_deep_red,0,11,-5.762269548226321
A_deep_red,0,12,-5.821975678237279
A_deep_red,0,13,-6.047033469899432
A_deep_red,0,14,-6.142625830578385
A_deep_red,0,15,-6.23644535297679
A_deep_red,0,16,-6.221766337168878
A_deep_red,0,17,-6.270595588209395
A_deep_red,0,18,-6.350915563593355
A_deep_red,0,19,-6.400290836180527
A_deep_red,0,20,-6.4203318361301704
A_deep_red,0,21,-6.437430921284255
A_deep_red,0,22,-6.472785830308328
A_deep_red,0,23,-6.5440380700788845
A_deep_red,0,24,-6.625670469508881
A_deep_red,0,25,-6.626754174450132
A_deep_red,0,26,-6.710260854183981
A_deep_red,0,27,-6.715109498334668
A_deep_red,0,28,-6.7789497131335565
A_deep_red,0,29,-6.790951643655886
A_deep_red,0,30,-6.7900500684758205
A_deep_red,0,31,-6.830766317998309
A_deep_red,0,32,-6.871343938347128
A_deep_red,0,33,-6.914493294302336
A_deep_red,0,34,-6.933784812346499
A_deep_red,0,35,-6.9503963864574665
A_deep_red,0,36,-6.962993467333166
A_deep_red,0,37,-6.972008999815106
A_deep_red,0,38,-6.976795612036331
A_deep_red,0,39,-6.995208967936358
A_deep_red,1,0,0.16387773098195538
A_deep_red,1,1,-0.8950358571047733
A_deep_red,1,2,-1.6934052515059541
A_deep_red,1,3,-3.4843493212172088
A_deep_red,1,4,-4.162730336929765
A_deep_red,1,5,-4.397398750864429
A_deep_red,1,6,-4.756142112616216
A_deep_red,1,7,-4.919795129916597
A_deep_red,1,8,-5.027701706930791
A_deep_red,1,9,-5.266676328796178
A_deep_red,1,10,-5.530390449774409
A_deep_red,1,11,-5.546992329487608
A_deep_red,1,12,-5.609457256548608
A_deep_red,1,13,-5.895952225209706
A_deep_red,1,14,-6.015174478556016
A_deep_red,1,15,-5.962107873472366
A_deep_red,1,16,-6.004053398993944
A_deep_red,1,17,-6.125068039316936
A_deep_red,1,18,-6.3075747356180045
A_deep_red,1,19,-6.270009559663909
A_deep_red,1,20,-6.271969951523735
A_deep_red,1,21,-6.338060686045936
A_deep_red,1,22,-6.436789820872775
A_deep_red,1,23,-6.4784275171266055
