part,spare,seed,rep,pass_name,seconds
A-L1,0,3,4,Depth,0.00022125244140625
A-L1,0,3,4,FixedPoint,2.0503997802734375e-05
A-L1,0,3,4,Optimize1qGatesDecomposition,0.0026197433471679688
A-L1,0,3,4,GatesInBasis,0.00014472007751464844
A-L1,0,4,0,ContainsInstruction,9.775161743164062e-06
A-L1,0,4,0,UnitarySynthesis,6.67572021484375e-06
A-L1,0,4,0,HighLevelSynthesis,0.00012540817260742188
A-L1,0,4,0,BasisTranslator,0.0012729167938232422
A-L1,0,4,0,InverseCancellation,0.0002243518829345703
A-L1,0,4,0,ContractIdleWiresInControlFlow,4.0531158447265625e-06
A-L1,0,4,0,SetLayout,6.0558319091796875e-05
A-L1,0,4,0,FullAncillaAllocation,2.193450927734375e-05
A-L1,0,4,0,EnlargeWithAncilla,2.1457672119140625e-06
A-L1,0,4,0,ApplyLayout,0.00021266937255859375
A-L1,0,4,0,CheckMap,9.369850158691406e-05
A-L1,0,4,0,FilterOpNodes,0.00036978721618652344
A-L1,0,4,0,Size,6.9141387939453125e-06
A-L1,0,4,0,Depth,0.000202178955078125
A-L1,0,4,0,FixedPoint,1.7404556274414062e-05
A-L1,0,4,0,Optimize1qGatesDecomposition,0.0038809776306152344
A-L1,0,4,0,GatesInBasis,0.00013208389282226562
A-L1,0,4,1,ContainsInstruction,1.1205673217773438e-05
A-L1,0,4,1,UnitarySynthesis,7.62939453125e-06
A-L1,0,4,1,HighLevelSynthesis,0.000125885009765625
A-L1,0,4,1,BasisTranslator,0.0012519359588623047
A-L1,0,4,1,InverseCancellation,0.00022721290588378906
A-L1,0,4,1,ContractIdleWiresInControlFlow,4.5299530029296875e-06
A-L1,0,4,1,SetLayout,5.817413330078125e-05
A-L1,0,4,1,FullAncillaAllocation,2.193450927734375e-05
A-L1,0,4,1,EnlargeWithAncilla,2.1457672119140625e-06
A-L1,0,4,1,ApplyLayout,0.00021219253540039062
A-L1,0,4,1,CheckMap,8.177757263183594e-05
A-L1,0,4,1,FilterOpNodes,0.0004394054412841797
A-L1,0,4,1,Size,6.9141387939453125e-06
A-L1,0,4,1,Depth,0.00019240379333496094
A-L1,0,4,1,FixedPoint,1.7404556274414062e-05
A-L1,0,4,1,Optimize1qGatesDecomposition,0.0031638145446777344
A-L1,0,4,1,GatesInBasis,0.00012803077697753906
A-L1,0,4,2,ContainsInstruction,1.0967254638671875e-05
