family,eps,seed,method,aligned_err,twoq
"(0.6,0.3,e)",0.00031622776601683794,101,"transpile L2 [cx,rz,sx,x]",2.350567573712383e-13,3
"(0.6,0.3,e)",0.00031622776601683794,101,"transpile L3 [cx,rz,sx,x]",2.350567573712383e-13,3
"(0.6,0.3,e)",0.00031622776601683794,101,transpile L1 GenericBackendV2 cz,1.2443360108165524e-13,3
"(0.6,0.3,e)",0.00031622776601683794,101,transpile L3 GenericBackendV2 cz,1.9665682566889542e-15,3
"(0.6,0.3,e)",0.00031622776601683794,101,PSF-Zero old path,1.2436062576340743e-13,3
"(0.6,0.3,e)",0.00031622776601683794,101,PSF-Zero closed form,1.386168890982873e-15,3
"(0.6,0.3,e)",0.00031622776601683794,202,decomposer ZSX (as PSF-Zero),2.3656883855542633e-13,3
"(0.6,0.3,e)",0.00031622776601683794,202,decomposer default Euler,2.7324466421996513e-15,3
"(0.6,0.3,e)",0.00031622776601683794,202,"transpile L1 [cx,rz,sx,x]",2.3656883855542633e-13,3
"(0.6,0.3,e)",0.00031622776601683794,202,"transpile L2 [cx,rz,sx,x]",2.3656883855542633e-13,3
"(0.6,0.3,e)",0.00031622776601683794,202,"transpile L3 [cx,rz,sx,x]",2.3656883855542633e-13,3
"(0.6,0.3,e)",0.00031622776601683794,202,transpile L1 GenericBackendV2 cz,1.2253081952717986e-13,3
"(0.6,0.3,e)",0.00031622776601683794,202,transpile L3 GenericBackendV2 cz,4.5418482873486674e-15,3
"(0.6,0.3,e)",0.00031622776601683794,202,PSF-Zero old path,1.2370118966732448e-13,3
"(0.6,0.3,e)",0.00031622776601683794,202,PSF-Zero closed form,1.1195405904579378e-15,3
"(0.6,0.3,e)",0.00017782794100389227,13,decomposer ZSX (as PSF-Zero),4.212060818674453e-13,3
"(0.6,0.3,e)",0.00017782794100389227,13,decomposer default Euler,2.6808978438557275e-15,3
"(0.6,0.3,e)",0.00017782794100389227,13,"transpile L1 [cx,rz,sx,x]",4.212060818674453e-13,3
"(0.6,0.3,e)",0.00017782794100389227,13,"transpile L2 [cx,rz,sx,x]",4.212060818674453e-13,3
"(0.6,0.3,e)",0.00017782794100389227,13,"transpile L3 [cx,rz,sx,x]",4.212060818674453e-13,3
"(0.6,0.3,e)",0.00017782794100389227,13,transpile L1 GenericBackendV2 cz,2.1954869402345553e-13,3
"(0.6,0.3,e)",0.00017782794100389227,13,transpile L3 GenericBackendV2 cz,3.0281501468007814e-15,3
"(0.6,0.3,e)",0.00017782794100389227,13,PSF-Zero old path,2.2018494037842306e-13,3
"(0.6,0.3,e)",0.00017782794100389227,13,PSF-Zero closed form,1.0484757026512396e-15,3
"(0.6,0.3,e)",0.00017782794100389227,101,decomposer ZSX (as PSF-Zero),4.2282115180866925e-13,3
"(0.6,0.3,e)",0.00017782794100389227,101,decomposer default Euler,1.743044071594139e-15,3
"(0.6,0.3,e)",0.00017782794100389227,101,"transpile L1 [cx,rz,sx,x]",4.2282115180866925e-13,3
"(0.6,0.3,e)",0.00017782794100389227,101,"transpile L2 [cx,rz,sx,x]",4.2282115180866925e-13,3
"(0.6,0.3,e)",0.00017782794100389227,101,"transpile L3 [cx,rz,sx,x]",4.2282115180866925e-13,3
"(0.6,0.3,e)",0.00017782794100389227,101,transpile L1 GenericBackendV2 cz,2.2172344210355034e-13,3
"(0.6,0.3,e)",0.00017782794100389227,101,transpile L3 GenericBackendV2 cz,2.253399785851185e-15,3
"(0.6,0.3,e)",0.00017782794100389227,101,PSF-Zero old path,2.2026973438435708e-13,3
"(0.6,0.3,e)",0.00017782794100389227,101,PSF-Zero closed form,1.4169463038663893e-15,3
"(0.6,0.3,e)",0.00017782794100389227,202,decomposer ZSX (as PSF-Zero),4.2012730436119104e-13,3
"(0.6,0.3,e)",0.00017782794100389227,202,decomposer default Euler,3.2353801994998e-15,3
"(0.6,0.3,e)",0.00017782794100389227,202,"transpile L1 [cx,rz,sx,x]",4.2012730436119104e-13,3
"(0.6,0.3,e)",0.00017782794100389227,202,"transpile L2 [cx,rz,sx,x]",4.2012730436119104e-13,3
"(0.6,0.3,e)",0.00017782794100389227,202,"transpile L3 [cx,rz,sx,x]",4.2012730436119104e-13,3
"(0.6,0.3,e)",0.00017782794100389227,202,transpile L1 GenericBackendV2 cz,2.2090366890143145e-13,3
"(0.6,0.3,e)",0.00017782794100389227,202,transpile L3 GenericBackendV2 cz,3.121870464375472e-15,3
"(0.6,0.3,e)",0.00017782794100389227,202,PSF-Zero old path,2.2033187522433766e-13,3
"(0.6,0.3,e)",0.00017782794100389227,202,PSF-Zero closed form,1.818497472458456e-15,3
"(0.6,0.3,e)",0.0001,13,decomposer ZSX (as PSF-Zero),7.492284661416881e-13,3
"(0.6,0.3,e)",0.0001,13,decomposer default Euler,1.4895361649082946e-15,3
"(0.6,0.3,e)",0.0001,13,"transpile L1 [cx,rz,sx,x]",7.492284661416881e-13,3
"(0.6,0.3,e)",0.0001,13,"transpile L2 [cx,rz,sx,x]",7.492284661416881e-13,3
"(0.6,0.3,e)",0.0001,13,"transpile L3 [cx,rz,sx,x]",7.492284661416881e-13,3
"(0.6,0.3,e)",0.0001,13,transpile L1 GenericBackendV2 cz,3.904287981712655e-13,3
"(0.6,0.3,e)",0.0001,13,transpile L3 GenericBackendV2 cz,3.865127504591185e-15,3
"(0.6,0.3,e)",0.0001,13,PSF-Zero old path,3.920056354597705e-13,3
"(0.6,0.3,e)",0.0001,13,PSF-Zero closed form,1.394593134211252e-15,3
"(0.6,0.3,e)",0.0001,101,decomposer ZSX (as PSF-Zero),7.475817780907113e-13,3
"(0.6,0.3,e)",0.0001,101,decomposer default Euler,2.441803074654747e-15,3
"(0.6,0.3,e)",0.0001,101,"transpile L1 [cx,rz,sx,x]",7.475817780907113e-13,3
"(0.6,0.3,e)",0.0001,101,"transpile L2 [cx,rz,sx,x]",7.475817780907113e-13,3
"(0.6,0.3,e)",0.0001,101,"transpile L3 [cx,rz,sx,x]",7.475817780907113e-13,3
"(0.6,0.3,e)",0.0001,101,transpile L1 GenericBackendV2 cz,3.922441758635409e-13,3
"(0.6,0.3,e)",0.0001,101,transpile L3 GenericBackendV2 cz,1.942401566217562e-15,3
"(0.6,0.3,e)",0.0001,101,PSF-Zero old path,3.9296768188812755e-13,3
"(0.6,0.3,e)",0.0001,101,PSF-Zero closed form,1.4226350781030144e-15,3
"(0.6,0.3,e)",0.0001,202,decomposer ZSX (as PSF-Zero),7.500240081154792e-13,3
"(0.6,0.3,e)",0.0001,202,decomposer default Euler,3.2351551045962113e-15,3
"(0.6,0.3,e)",0.0001,202,"transpile L1 [cx,rz,sx,x]",7.500240081154792e-13,3
"(0.6,0.3,e)",0.0001,202,"transpile L2 [cx,rz,sx,x]",7.500240081154792e-13,3
"(0.6,0.3,e)",0.0001,202,"transpile L3 [cx,rz,sx,x]",7.500240081154792e-13,3
"(0.6,0.3,e)",0.0001,202,transpile L1 GenericBackendV2 cz,3.906951945169968e-13,3
"(0.6,0.3,e)",0.0001,202,transpile L3 GenericBackendV2 cz,4.696976442166444e-15,3
"(0.6,0.3,e)",0.0001,202,PSF-Zero old path,3.921527164175023e-13,3
"(0.6,0.3,e)",0.0001,202,PSF-Zero closed form,1.6191169596769247e-15,3
"(0.6,0.3,e)",5.623413251903491e-05,13,decomposer ZSX (as PSF-Zero),1.333048919903119e-12,3
"(0.6,0.3,e)",5.623413251903491e-05,13,decomposer default Euler,1.9883594964543983e-15,3
"(0.6,0.3,e)",5.623413251903491e-05,13,"transpile L1 [cx,rz,sx,x]",1.333048919903119e-12,3
"(0.6,0.3,e)",5.623413251903491e-05,13,"transpile L2 [cx,rz,sx,x]",1.333048919903119e-12,3
"(0.6,0.3,e)",5.623413251903491e-05,13,"transpile L3 [cx,rz,sx,x]",1.333048919903119e-12,3
"(0.6,0.3,e)",5.623413251903491e-05,13,transpile L1 GenericBackendV2 cz,6.963488732088793e-13,3
"(0.6,0.3,e)",5.623413251903491e-05,13,transpile L3 GenericBackendV2 cz,3.3084733341157198e-15,3
"(0.6,0.3,e)",5.623413251903491e-05,13,PSF-Zero old path,6.97325181221345e-13,3
"(0.6,0.3,e)",5.623413251903491e-05,13,PSF-Zero closed form,1.4883666006288726e-15,3
"(0.6,0.3,e)",5.623413251903491e-05,101,decomposer ZSX (as PSF-Zero),1.3321270562720863e-12,3
"(0.6,0.3,e)",5.623413251903491e-05,101,decomposer default Euler,2.6359858138606167e-15,3
"(0.6,0.3,e)",5.623413251903491e-05,101,"transpile L1 [cx,rz,sx,x]",1.3321270562720863e-12,3
"(0.6,0.3,e)",5.623413251903491e-05,101,"transpile L2 [cx,rz,sx,x]",1.3321270562720863e-12,3
"(0.6,0.3,e)",5.623413251903491e-05,101,"transpile L3 [cx,rz,sx,x]",1.3321270562720863e-12,3
"(0.6,0.3,e)",5.623413251903491e-05,101,transpile L1 GenericBackendV2 cz,6.983086158033508e-13,3
"(0.6,0.3,e)",5.623413251903491e-05,101,transpile L3 GenericBackendV2 cz,2.071547478054758e-15,3
