Round,Spare,Qubits,LayoutSearch,Seed,Arm,Time_s,Status,Error,FidelityCheck,FidelityDetail,Infidelity,TwoQubitGates,CouplingViolations,Depth,QiskitLevel,RoutingOptimizationLevel,Grid,Timestamp
3,2,40,-,2,qiskit_opt3,0.025804699998843716,success,,structural_only,,,60,0,16,3,1,6x7,2026-09-16T23:25:49.992497
3,2,40,False,2,psf_zero_ls0,0.015868899999986752,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:50.020842
3,2,40,True,2,psf_zero_ls1,0.01636759999928472,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:50.039226
3,4,38,-,0,qiskit_opt3,0.0274003000013181,success,,structural_only,,,57,0,16,3,1,6x7,2026-09-16T23:25:50.158277
3,4,38,False,0,psf_zero_ls0,0.01709590000064054,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:50.187853
3,4,38,True,0,psf_zero_ls1,0.016596699999354314,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:50.207286
3,4,38,-,1,qiskit_opt3,0.02754120000099647,success,,structural_only,,,57,0,16,3,1,6x7,2026-09-16T23:25:50.328371
3,4,38,False,1,psf_zero_ls0,0.015609199999744305,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:50.357629
3,4,38,True,1,psf_zero_ls1,0.01621789999990142,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:50.376222
3,4,38,-,2,qiskit_opt3,0.028672099999312195,success,,structural_only,,,57,0,16,3,1,6x7,2026-09-16T23:25:50.495922
3,4,38,False,2,psf_zero_ls0,0.016288999999233056,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:50.526098
3,4,38,True,2,psf_zero_ls1,0.017004900000756606,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:50.545380
3,8,34,-,0,qiskit_opt3,0.03128409999953874,success,,structural_only,,,51,0,16,3,1,6x7,2026-09-16T23:25:50.656198
3,8,34,False,0,psf_zero_ls0,0.014931499999875086,success,,structural_only,,,102,0,22,3,1,6x7,2026-09-16T23:25:50.689491
3,8,34,True,0,psf_zero_ls1,0.016116900000270107,success,,structural_only,,,102,0,22,3,1,6x7,2026-09-16T23:25:50.706605
3,8,34,-,1,qiskit_opt3,0.030702699999892502,success,,structural_only,,,51,0,16,3,1,6x7,2026-09-16T23:25:50.816822
3,8,34,False,1,psf_zero_ls0,0.0155332999984239,success,,structural_only,,,102,0,22,3,1,6x7,2026-09-16T23:25:50.848995
3,8,34,True,1,psf_zero_ls1,0.016630100000838866,success,,structural_only,,,102,0,22,3,1,6x7,2026-09-16T23:25:50.867334
3,8,34,-,2,qiskit_opt3,0.03102299999954994,success,,structural_only,,,51,0,16,3,1,6x7,2026-09-16T23:25:50.976429
3,8,34,False,2,psf_zero_ls0,0.015969500000210246,success,,structural_only,,,102,0,22,3,1,6x7,2026-09-16T23:25:51.009669
3,8,34,True,2,psf_zero_ls1,0.015596900000673486,success,,structural_only,,,102,0,22,3,1,6x7,2026-09-16T23:25:51.028173
3,16,26,-,0,qiskit_opt3,0.036583900000550784,success,,structural_only,,,39,0,16,3,1,6x7,2026-09-16T23:25:51.114826
3,16,26,False,0,psf_zero_ls0,0.014093899999352288,success,,structural_only,,,78,0,22,3,1,6x7,2026-09-16T23:25:51.153286
3,16,26,True,0,psf_zero_ls1,0.014528499999869382,success,,structural_only,,,78,0,22,3,1,6x7,2026-09-16T23:25:51.169381
3,16,26,-,1,qiskit_opt3,0.0366068000002997,success,,structural_only,,,39,0,16,3,1,6x7,2026-09-16T23:25:51.255245
3,16,26,False,1,psf_zero_ls0,0.014422999998714658,success,,structural_only,,,78,0,22,3,1,6x7,2026-09-16T23:25:51.293436
3,16,26,True,1,psf_zero_ls1,0.01471769999989192,success,,structural_only,,,78,0,22,3,1,6x7,2026-09-16T23:25:51.309814
3,16,26,-,2,qiskit_opt3,0.03661660000034317,success,,structural_only,,,39,0,16,3,1,6x7,2026-09-16T23:25:51.395644
3,16,26,False,2,psf_zero_ls0,0.014734000000316883,success,,structural_only,,,78,0,22,3,1,6x7,2026-09-16T23:25:51.433822
3,16,26,True,2,psf_zero_ls1,0.015032400000563939,success,,structural_only,,,78,0,22,3,1,6x7,2026-09-16T23:25:51.450297
3,24,18,-,0,qiskit_opt3,0.04476750000139873,success,,structural_only,,,27,0,16,3,1,6x7,2026-09-16T23:25:51.516824
3,24,18,False,0,psf_zero_ls0,0.01386139999885927,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:51.563517
3,24,18,True,0,psf_zero_ls1,0.012958200000866782,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:51.578858
3,24,18,-,1,qiskit_opt3,0.03906079999978829,success,,structural_only,,,27,0,16,3,1,6x7,2026-09-16T23:25:51.642364
3,24,18,False,1,psf_zero_ls0,0.013321199998244992,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:51.682313
3,24,18,True,1,psf_zero_ls1,0.01338459999897168,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:51.697383
3,24,18,-,2,qiskit_opt3,0.03972040000007837,success,,structural_only,,,27,0,16,3,1,6x7,2026-09-16T23:25:51.760093
3,24,18,False,2,psf_zero_ls0,0.012519100000645267,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:51.801570
3,24,18,True,2,psf_zero_ls1,0.012422899999364745,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:51.815786
4,0,42,-,0,qiskit_opt3,6.715956100000767,success,,structural_only,,,63,0,16,3,1,6x7,2026-09-16T23:25:51.941609
4,0,42,False,0,psf_zero_ls0,0.02982479999991483,success,,structural_only,,,132,0,45,3,1,6x7,2026-09-16T23:25:58.660075
4,0,42,True,0,psf_zero_ls1,0.024415899999439716,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:25:58.692689
4,0,42,-,1,qiskit_opt3,6.72526629999993,success,,structural_only,,,63,0,16,3,1,6x7,2026-09-16T23:25:58.833041
4,0,42,False,1,psf_zero_ls0,0.02865170000040962,success,,structural_only,,,132,0,45,3,1,6x7,2026-09-16T23:26:05.560914
4,0,42,True,1,psf_zero_ls1,0.024283200000354555,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:26:05.592090
4,0,42,-,2,qiskit_opt3,6.723249900000155,success,,structural_only,,,63,0,16,3,1,6x7,2026-09-16T23:26:05.730947
4,0,42,False,2,psf_zero_ls0,0.10365810000075726,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:26:12.456884
