Workload,Arm,Family,Qubits,Seed,Reps,Status,Time_min_s,Time_median_s,Time_stdev_s,Final_2Q_Gates,Final_Depth,Coupling_Violations,Off_Basis,PSF_Blocks,Peak_RSS_MB,RSS_Delta_MB,TraceMalloc_Peak_MB,Equiv_Infidelity,Platform,Python,Qiskit,StartMethod,CPU
dense,qiskit_opt3,Qiskit,300,3,3,success,0.09425000000010186,0.09557700000004843,0.0008681053912866841,450,16,0,,,280.86328125,1.58203125,0.6843738555908203,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,300,3,3,success,0.04023390000111249,0.040808300000207964,0.00197514941309033,450,23,0,,PSF-Zero Rust Core executed for 150/150 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,225.9375,2.76953125,0.8882274627685547,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,300,3,3,success,0.0417037999995955,0.04270139999971434,0.0009211387896435904,450,16,0,,PSF-Zero Rust Core executed for 150/150 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,231.48046875,3.0078125,0.8959264755249023,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
passthrough,qiskit_opt1,Qiskit,50,1,3,success,0.16674349999993865,0.17573339999944437,0.0064851807080326535,38656,11338,0,,,292.109375,0.34765625,0.19543743133544922,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
passthrough,qiskit_opt2,Qiskit,50,1,3,success,0.7137863000007201,0.7310149000004458,0.013303785093462,36288,11736,0,,,392.6953125,7.7734375,0.23131656646728516,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
passthrough,qiskit_opt3,Qiskit,50,1,3,success,0.8351455000010901,0.8359418000000005,0.0011219795282805794,36359,11794,0,,,425.73828125,12.04296875,0.2299346923828125,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
passthrough,psf_rl1_cx,PSF-Zero,50,1,3,success,0.17592320000039763,0.1788408000011259,0.004616226956784108,38656,11338,0,,PSF-Zero Rust Core executed for 0/0 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,278.98828125,13.79296875,0.25264549255371094,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
passthrough,psf_rl2_cx,PSF-Zero,50,1,3,success,0.7340571999993699,0.7347393000000011,0.013870963286087844,36288,11736,0,,PSF-Zero Rust Core executed for 0/0 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,391.375,17.89453125,0.2862119674682617,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
passthrough,qiskit_opt1,Qiskit,50,2,3,success,0.22566449999976612,0.23546450000139885,0.005969207127139199,46793,13790,0,,,306.76171875,13.31640625,0.20526790618896484,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
passthrough,qiskit_opt2,Qiskit,50,2,3,success,0.8219411999998556,0.8220825999997032,0.06750129015845696,44015,14727,0,,,435.3359375,18.453125,0.21441650390625,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
passthrough,qiskit_opt3,Qiskit,50,2,3,success,1.598642299999483,1.742220999998608,0.09780105376618994,44054,14652,0,,,401.30078125,40.96875,0.21555709838867188,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
passthrough,psf_rl1_cx,PSF-Zero,50,2,3,success,0.27583489999960875,0.2986804000011034,0.03272904147032255,46793,13790,0,,PSF-Zero Rust Core executed for 0/0 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,323.125,5.40625,0.29361629486083984,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
passthrough,psf_rl2_cx,PSF-Zero,50,2,3,success,1.5726469000001089,1.7830372999997053,0.22515621083371262,44015,14727,0,,PSF-Zero Rust Core executed for 0/0 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,408.98828125,2.484375,0.2861146926879883,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
passthrough,qiskit_opt1,Qiskit,50,3,3,success,0.2817933999995148,0.29751630000100704,0.037880713748356235,49314,14657,0,,,308.98046875,5.53515625,0.20746231079101562,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
passthrough,qiskit_opt2,Qiskit,50,3,3,success,1.7307027999995626,1.7788277999989077,0.07098238390799634,46456,15230,0,,,381.09375,2.4453125,0.2147350311279297,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
