part,spare,seed,mode,rep,component,seconds,count
A,0,2,plain,2,total,0.07642929500002538,1
A,0,2,plain,3,total,0.07834536500001832,1
A,0,2,plain,4,total,0.07936389700000746,1
A,0,2,instrumented,0,A1a  consolidate (Collect2qBlocks+ConsolidateBlocks),0.007337448999976459,1
A,0,2,instrumented,0,A1b.1 core decompose (Rust),0.0007405620000326962,60
A,0,2,instrumented,0,A1b.2 polish (check + Gauss-Newton),0.011903277000044454,60
A,0,2,instrumented,0,A1b.3a cx core lookup/build,0.018926722000003338,60
A,0,2,instrumented,0,A1b.3 build circuit (incl. CX core),0.02546866699998418,60
A,0,2,instrumented,0,A1b  synthesize [all blocks],0.039482169000052636,60
A,0,2,instrumented,0,A1 psf.compile [total],0.04892539300004728,1
A,0,2,instrumented,0,A2a  matching check (networkx),0.0025987669999949503,1
A,0,2,instrumented,0,A2b  orderings,0.0002053410000257827,1
A,0,2,instrumented,0,A2c  relabel graph,7.588400001168338e-05,2
A,0,2,instrumented,0,A2d  vf2_mapping (rustworkx),0.01275756199999023,2
A,0,2,instrumented,0,A2 layout search [total],0.01575623900004075,1
A,0,2,instrumented,0,A3 layout map -> list,1.1292000010598713e-05,1
A,0,2,instrumented,0,A4 qiskit transpile L1 [total],0.015249025000002803,1
A,0,2,instrumented,0,A0 compile_for_hardware [total],0.08051316199998837,
A,0,2,instrumented,0,"A1c  compile other (to_matrix, compose, loop)",0.002105775000018184,
A,0,2,instrumented,0,"A1b.4 synthesize other (tolist, verify, checks)",0.0013696629999913057,
A,0,2,instrumented,0,"A5 compile_for_hardware other (pair collection, import)",0.0005712129998869386,
A,0,2,instrumented,0,refine_triggered,,12
A,0,2,instrumented,0,cx_cache_hit,,0
A,0,2,instrumented,0,cx_cache_miss,,60
A,0,2,instrumented,1,A1a  consolidate (Collect2qBlocks+ConsolidateBlocks),0.007624252000027809,1
A,0,2,instrumented,1,A1b.1 core decompose (Rust),0.0008963040000367073,60
A,0,2,instrumented,1,A1b.2 polish (check + Gauss-Newton),0.011789491999934398,60
A,0,2,instrumented,1,A1b.3a cx core lookup/build,0.01894280099986645,60
A,0,2,instrumented,1,A1b.3 build circuit (incl. CX core),0.025812116999759382,60
A,0,2,instrumented,1,A1b  synthesize [all blocks],0.03988900699994247,60
A,0,2,instrumented,1,A1 psf.compile [total],0.04973184900001115,1
A,0,2,instrumented,1,A2a  matching check (networkx),0.002199666999956662,1
A,0,2,instrumented,1,A2b  orderings,0.000225489000001744,1
A,0,2,instrumented,1,A2c  relabel graph,7.781799996564587e-05,2
A,0,2,instrumented,1,A2d  vf2_mapping (rustworkx),0.012784294000027785,2
A,0,2,instrumented,1,A2 layout search [total],0.01540235599998141,1
A,0,2,instrumented,1,A3 layout map -> list,1.3576000014836609e-05,1
A,0,2,instrumented,1,A4 qiskit transpile L1 [total],0.014857725999945615,1
A,0,2,instrumented,1,A0 compile_for_hardware [total],0.08047707299999729,
A,0,2,instrumented,1,"A1c  compile other (to_matrix, compose, loop)",0.0022185900000408765,
A,0,2,instrumented,1,"A1b.4 synthesize other (tolist, verify, checks)",0.0013910940002119787,
A,0,2,instrumented,1,"A5 compile_for_hardware other (pair collection, import)",0.00047156600004427673,
A,0,2,instrumented,1,refine_triggered,,12
A,0,2,instrumented,1,cx_cache_hit,,0
A,0,2,instrumented,1,cx_cache_miss,,60
A,0,2,instrumented,2,A1a  consolidate (Collect2qBlocks+ConsolidateBlocks),0.0075593389999539795,1
A,0,2,instrumented,2,A1b.1 core decompose (Rust),0.0007076859999983753,60
A,0,2,instrumented,2,A1b.2 polish (check + Gauss-Newton),0.011706213000024945,60
A,0,2,instrumented,2,A1b.3a cx core lookup/build,0.018363177000082942,60
A,0,2,instrumented,2,A1b.3 build circuit (incl. CX core),0.024793745000124545,60
A,0,2,instrumented,2,A1b  synthesize [all blocks],0.03859122799963188,60
A,0,2,instrumented,2,A1 psf.compile [total],0.04825139100000797,1
A,0,2,instrumented,2,A2a  matching check (networkx),0.0021875950000094235,1
A,0,2,instrumented,2,A2b  orderings,0.00020509900002707582,1
A,0,2,instrumented,2,A2c  relabel graph,7.644599998002377e-05,2
A,0,2,instrumented,2,A2d  vf2_mapping (rustworkx),0.012733416999992642,2
A,0,2,instrumented,2,A2 layout search [total],0.015328535999969972,1
A,0,2,instrumented,2,A3 layout map -> list,1.085000002376546e-05,1
