Threads,Seed,Qubits,Layer,Status,Time_min_s,Time_median_s,Platform,Python,StartMethod,CPU,CPU_count,Qiskit,numpy,Fixture,core_file,core_bytes,core_ext,blas
default,3,50,prep,success,0.0004250000000070031,0.0004326000000105523,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,3,50,canonical_verifyFalse,success,0.0037552000000005137,0.003933499999959622,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,3,50,canonical_verifyTrue,success,0.006647400000019843,0.00689799999997831,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,3,50,cx_verifyFalse,success,0.0036430999999765845,0.0039381999999932304,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,3,50,cx_verifyTrue,success,0.006874600000003284,0.00739970000000767,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,3,156,prep,success,0.0012846999999851505,0.0014097000000106163,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,3,156,canonical_verifyFalse,success,0.012171799999975974,0.012460700000019642,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,3,156,canonical_verifyTrue,success,0.02062630000000354,0.02184489999996231,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,3,156,cx_verifyFalse,success,0.012338899999974728,0.015612799999985327,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,3,156,cx_verifyTrue,success,0.022571099999993294,0.02679399999999532,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,-1,core_raw,success,0.0019335000000069158,0.0024493999999890548,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
