spare,n,occupancy,seed,arm,repeat,elapsed_since_start_s,total_ms,placement_ms,routing_ms,rebase_ms,two_qubit_gates,depth,violations,error,peephole_ms,cpu,platform,python_version,qiskit_version,pytket_version,grid_rows,grid_cols,gates_per_pair,tket_timeout_ms,tket_max_matches,with_peephole
1,41,0.9761904761904762,2,tket_default_mapping,0,257.67966429999797,92.29079999931855,,,288.6588999972446,1200,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,2,tket_default_mapping,1,258.84227629999805,92.40759999738657,,,281.70830000090064,1200,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,2,tket_default_mapping,2,259.98374129999866,93.97790000002715,,,278.8486000026751,1200,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,0,qiskit_opt1,0,261.2672343999984,22.270099998422666,,,,1200,365,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,0,qiskit_opt1,1,261.31782569999996,20.05060000010417,,,,1200,365,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,0,qiskit_opt1,2,261.3663944,22.50849999836646,,,,1200,365,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,0,qiskit_opt3,0,261.4417820999988,21.539600002142834,,,,60,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,0,qiskit_opt3,1,261.46465199999875,27.31060000223806,,,,60,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,0,qiskit_opt3,2,261.49436929999865,28.65160000146716,,,,60,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,0,tket_placement_routing,0,262.65158699999665,51.80340000151773,39.39610000088578,12.407300000631949,286.48229999816976,1200,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,0,tket_placement_routing,1,263.7690494999988,56.07889999737381,42.87320000003092,13.20569999734289,292.79160000078264,1200,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,0,tket_placement_routing,2,264.90399179999804,51.86699999831035,39.540599998872494,12.326399999437854,285.62520000195946,1200,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,0,tket_default_mapping,0,267.19072029999734,90.97420000034617,,,282.7976000007766,1200,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,0,tket_default_mapping,1,268.3413004999966,93.11530000195489,,,283.86220000174944,1200,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,0,tket_default_mapping,2,269.49463169999945,91.05060000001686,,,280.27210000072955,1200,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,1,qiskit_opt1,0,270.75265269999727,20.111900001211325,,,,1200,365,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,1,qiskit_opt1,1,270.8007061999997,22.44980000250507,,,,1200,365,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,1,qiskit_opt1,2,270.8517635999997,21.674100000382168,,,,1200,365,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,1,qiskit_opt3,0,270.9247643999988,21.612000000459375,,,,60,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,1,qiskit_opt3,1,270.94773409999834,20.608099999662954,,,,60,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
2,40,0.9523809523809523,1,qiskit_opt3,2,270.9696772999996,24.116100001265295,,,,60,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
