backend,twoq,tape_seed,arm,routed_2q,n_1q,size,depth,tvd_noisy,psf_fallbacks
FakeMiami,cz,4,Z,6,66,72,23,0.01987933755235286,
FakeMiami,cz,4,P,6,66,72,23,0.01970933755235288,0
FakeMiami,cz,4,T,6,58,64,19,0.01854933755235287,
FakeNighthawk,cz,0,A,6,70,76,22,0.009996817962825026,
FakeNighthawk,cz,0,Z,6,66,72,23,0.009926817962825027,
FakeNighthawk,cz,0,P,6,66,72,23,0.010026817962825011,0
FakeNighthawk,cz,0,T,6,58,64,19,0.011795934944416173,
FakeNighthawk,cz,1,A,6,70,76,22,0.008514249748878992,
FakeNighthawk,cz,1,Z,6,66,72,23,0.008524249748878998,
FakeNighthawk,cz,1,P,6,66,72,23,0.008424249748878981,0
FakeNighthawk,cz,1,T,6,58,64,19,0.0073384830957695345,
FakeNighthawk,cz,2,A,6,70,76,22,0.00930085505166046,
FakeNighthawk,cz,2,Z,6,66,72,23,0.009300855051660468,
FakeNighthawk,cz,2,P,6,66,72,23,0.009300855051660468,0
FakeNighthawk,cz,2,T,6,58,64,19,0.007998847484017708,
FakeNighthawk,cz,3,A,6,70,76,22,0.006275348581784777,
FakeNighthawk,cz,3,Z,6,66,72,23,0.006226006867882973,
FakeNighthawk,cz,3,P,6,66,72,23,0.006245348581784781,0
FakeNighthawk,cz,3,T,6,58,64,19,0.005529215247148209,
FakeNighthawk,cz,4,A,6,70,76,22,0.007954451498270988,
FakeNighthawk,cz,4,Z,6,66,72,23,0.007974451498271001,
FakeNighthawk,cz,4,P,6,66,72,23,0.007874451498270986,0
FakeNighthawk,cz,4,T,6,58,64,19,0.00815331907926746,
FakeOsaka,ecr,0,A,6,78,84,23,0.04193681796282502,
FakeOsaka,ecr,0,Z,6,68,74,21,0.04037681796282504,
FakeOsaka,ecr,0,P,6,68,74,21,0.042706817962825036,0
FakeOsaka,ecr,0,T,6,74,80,23,0.042876817962825046,
FakeOsaka,ecr,1,A,6,78,84,23,0.013989438459199475,
FakeOsaka,ecr,1,Z,6,68,74,21,0.016419909830108576,
FakeOsaka,ecr,1,P,6,68,74,21,0.016589909830108565,0
FakeOsaka,ecr,1,T,6,74,80,23,0.016129909830108573,
FakeOsaka,ecr,2,A,6,78,84,23,0.025261165223219438,
FakeOsaka,ecr,2,Z,6,68,74,21,0.022234814101427126,
